height,time,diff
594000,1568032703,10771996663680.4
594001,1568032899,10771996663680.4
594002,1568033311,10771996663680.4
594003,1568034754,10771996663680.4
594004,1568035291,10771996663680.4
594005,1568035449,10771996663680.4
594006,1568036171,10771996663680.4
594007,1568036590,10771996663680.4
594008,1568036734,10771996663680.4
594009,1568037113,10771996663680.4
594010,1568037744,10771996663680.4
594011,1568038800,10771996663680.4
594012,1568039343,10771996663680.4
594013,1568040076,10771996663680.4
594014,1568040918,10771996663680.4
594015,1568040970,10771996663680.4
594016,1568041155,10771996663680.4
594017,1568041176,10771996663680.4
594018,1568041410,10771996663680.4
594019,1568041679,10771996663680.4
594020,1568041998,10771996663680.4
594021,1568042369,10771996663680.4
594022,1568042695,10771996663680.4
594023,1568044089,10771996663680.4
594024,1568044688,10771996663680.4
594025,1568045534,10771996663680.4
594026,1568045578,10771996663680.4
594027,1568045640,10771996663680.4
594028,1568045995,10771996663680.4
594029,1568046232,10771996663680.4
594030,1568046729,10771996663680.4
594031,1568048283,10771996663680.4
594032,1568050010,10771996663680.4
594033,1568051128,10771996663680.4
594034,1568051404,10771996663680.4
594035,1568052140,10771996663680.4
594036,1568052594,10771996663680.4
594037,1568053918,10771996663680.4
594038,1568054068,10771996663680.4
594039,1568054631,10771996663680.4
594040,1568054793,10771996663680.4
594041,1568055117,10771996663680.4
594042,1568056456,10771996663680.4
594043,1568056873,10771996663680.4
594044,1568057657,10771996663680.4
594045,1568059649,10771996663680.4
594046,1568060115,10771996663680.4
594047,1568060449,10771996663680.4
594048,1568060511,10771996663680.4
594049,1568060589,10771996663680.4
594050,1568060592,10771996663680.4
594051,1568061285,10771996663680.4
594052,1568063146,10771996663680.4
594053,1568063761,10771996663680.4
594054,1568064771,10771996663680.4
594055,1568064825,10771996663680.4
594056,1568066106,10771996663680.4
594057,1568067243,10771996663680.4
594058,1568067862,10771996663680.4
594059,1568067927,10771996663680.4
594060,1568068594,10771996663680.4
594061,1568068606,10771996663680.4
594062,1568068608,10771996663680.4
594063,1568069180,10771996663680.4
594064,1568070383,10771996663680.4
594065,1568070610,10771996663680.4
594066,1568071115,10771996663680.4
594067,1568071609,10771996663680.4
594068,1568071989,10771996663680.4
594069,1568072064,10771996663680.4
594070,1568072484,10771996663680.4
594071,1568073703,10771996663680.4
594072,1568073993,10771996663680.4
594073,1568075004,10771996663680.4
594074,1568075228,10771996663680.4
594075,1568075559,10771996663680.4
594076,1568076522,10771996663680.4
594077,1568076787,10771996663680.4
594078,1568076825,10771996663680.4
594079,1568077608,10771996663680.4
594080,1568078089,10771996663680.4
594081,1568078495,10771996663680.4
594082,1568079839,10771996663680.4
